"treatment","outcome","parential_income","score"
1,1.72048510153655,2.12490284420635,73.5863959423027
0,1.77799110797904,1.69692634435039,54.2822728841443
0,1.90240210335163,1.94501860660881,53.616057781555
1,1.83697121675019,1.47782110776349,74.4901744524691
1,1.8251853100197,1.95485806019263,75.2490801714283
1,1.46334107910638,2.98450117927451,74.3743885890347
0,1.68428394199656,1.92253397149461,54.659501514435
0,2.2361797829258,1.89143785002122,54.1667134291315
1,2.11276520056477,2.10838768480478,74.6684838366292
0,2.66024482048936,1.88506250498306,53.8215053498425
1,2.4377430607518,2.33002932726894,73.9582598476567
0,2.61358210659556,2.35015279903076,53.2988617821699
1,2.42258061286627,1.92815317791737,74.5664943174125
0,2.46575741777231,1.86574476783968,53.9244781622328
0,1.23037121054949,2.26877187342666,53.2473253052319
1,2.43145602288594,1.80130942459018,74.7099927101694
0,2.32712274031492,1.57623715100739,54.2022097579642
0,1.87302567286607,1.92998494877783,53.7542216655903
0,2.70107546303359,1.88090973686717,54.507943963724
0,2.06548673266509,1.71003891286604,53.9853440197292
1,2.82064214323388,2.04437831508381,73.8836140121144
1,2.37712083243007,2.70046572399958,74.2163550189127
1,2.94872863135563,2.3071215455617,72.9449927045783
1,1.35887482604722,2.27193310413419,73.4240835355038
0,2.25647829003574,1.20688301856576,53.3404317433835
1,2.25710133389337,2.95296213512591,73.6127265126428
1,1.65482666661376,2.09141488877279,73.6296050675692
1,2.02760593684803,2.1407470899664,74.5101799486431
0,1.92834562437053,1.01808026558201,54.5096469389437
1,1.98142759248079,2.68473417501675,74.5108984816056
1,2.19184093376059,2.09058073295717,74.6071397661886
0,2.69292959433529,1.96281959836952,54.5297914632835
0,1.82380886401573,1.48125858784196,54.2099754035285
1,2.41823066217411,2.16209015008769,73.9911478183875
1,1.77334490448925,2.32709001579512,73.8709220169689
1,2.46662386273642,2.60202396327149,74.2773027814753
0,2.17870315807774,1.25451007212464,54.0015321301558
1,2.14929567806021,2.5699735598608,74.0666197870125
1,2.10087666869011,2.57452638940692,74.0394342786602
0,1.6583292319513,1.95840763261386,53.8063710604523
1,2.08539649789564,2.0710417988385,74.5691444773541
0,1.55641141474325,2.05284110727263,53.046211773658
0,2.43181611283356,2.59902767406462,52.5033323064112
0,2.24769384006615,1.72576799945731,54.212770051352
1,2.34452635721749,1.8344672873194,74.4835754971293
1,1.68159553054351,2.26450982458513,74.1228409952997
0,1.95633545852115,1.75152238994529,53.8393248649272
0,2.07626406934551,1.73528709103959,53.253127627044
1,1.68322893678533,2.09192252687961,74.39494945019
1,1.88713083250423,2.37776630818719,74.972944484888
1,2.42598212560911,2.35426443759927,73.3838523809014
1,2.15721187589348,2.30445821100536,74.5336358774658
0,1.84815204474421,2.3819581644337,54.3476202313504
0,2.04421017244493,2.09637195134292,52.895103616563
0,1.97207488156427,2.08260357367454,53.7879710084005
0,2.0033847737258,1.89779632670898,52.8009678605386
0,1.63827293597638,1.76609813672967,53.9107454476347
0,2.77689819209912,1.71058290812153,54.2895246954216
1,2.56029934999147,2.10719786986357,74.5277103396774
0,2.46288560531913,1.87316133030926,53.7463021281213
0,1.76676388221603,1.96538400876862,53.9147922695659
1,1.82141049783353,2.07133454246694,74.7267448662676
1,1.77209876415404,2.1168684804286,74.8096037119225
1,2.40277199865322,2.34487380898511,73.9222032808253
0,2.89934910710452,1.79088873555812,52.4909838493106
0,1.81535456064202,1.64564793933315,54.5413951590529
0,1.80253667674407,2.24941146664141,53.0977203030122
